id,pred
1723,0.92710036
12736,0.85323489
12274,0.99832141
8823,0.86925328
5087,0.91821325
13178,0.95607585
11799,0.89273781
13425,0.97780335
12497,0.88061947
1185,0.85101426
3584,0.94789767
5851,0.90905911
14311,0.86378658
7836,0.98002040
2321,0.91495287
547,0.97641265
9095,1.00985670
4614,0.94273400
12698,0.93299294
2674,0.91052020
6814,0.97592854
4611,0.99066281
4334,0.88227344
9101,0.87587404
6585,0.79101950
12156,0.96198928
1183,0.86446470
2428,0.84827125
11600,0.99734223
3162,0.85194862
13798,0.90582001
1783,0.90076292
13683,0.94535911
14347,0.98195863
14472,0.98742545
8589,0.97321075
10411,0.92591560
7942,0.90902776
13715,0.95566988
8838,0.85742098
9644,0.84866589
8093,0.99533796
1734,0.91865849
10725,0.93201733
4556,0.92745072
1380,0.98762012
2722,0.99070716
4072,1.01371276
11293,1.00271916
12003,1.00843906
13564,0.99369681
8294,0.89486253
3393,0.99765968
8051,0.99397916
699,0.90126139
4557,0.87371391
8091,0.88686419
9704,0.98383057
11650,0.88079774
305,0.97221929
8300,0.99981749
13525,0.96251881
10166,1.01823258
11107,1.00181150
9971,0.89502627
7732,0.92960536
13466,0.96409816
3406,0.99180359
5338,0.85684288
6835,1.00862539
14359,0.88898718
4837,0.94970274
4741,0.95739937
5651,0.89832497
8779,0.98398399
5055,0.91155434
4744,0.95393550
1804,0.89790738
3992,0.94730186
14111,0.94304645
12047,0.93655705
1156,0.89363766
1920,0.96824950
9307,0.92729425
5881,0.99948865
12531,0.91354942
5878,0.97770119
10742,0.96707243
7625,0.84969002
30,0.97455156
4879,0.94600445
356,1.00946975
9781,0.93200678
1457,1.00283277
2876,1.01534522
1626,0.88333368
4929,1.02212358
848,1.00933838
2300,1.00463235
11987,0.94487184
3427,1.00879645
13492,0.87751091
14170,0.87219769
1960,0.85533279
8013,0.93068141
12019,1.03334522
7896,0.87217253
7371,0.95736992
6780,0.90245545
9855,0.95373809
11685,0.87384778
2290,0.82450259
473,1.00260210
4422,0.87616432
10966,1.00090909
705,0.91277504
12994,0.93956208
2448,0.92190945
2662,1.02041781
6143,1.03013813
14075,0.91031361
214,1.01786494
4150,0.86329490
6850,0.87482613
14868,0.99825418
3263,0.86239964
10879,1.02390909
9588,0.93472987
15043,0.92232525
11065,0.98607349
11939,0.94181156
8976,1.02404356
6560,0.99351424
6526,0.85135400
9402,0.91612697
9368,0.90291494
40,0.95105475
11862,1.00834966
3421,0.91531491
9105,0.94028431
4075,0.98156261
526,0.90750700
9020,0.96053100
8239,0.83995301
11469,1.00959730
12610,0.96440887
8282,0.97592896
11701,0.97651565
10560,0.97703254
6012,0.99826229
9174,0.83496761
4019,1.00410390
67,0.92460257
8520,0.96215385
10415,0.91757488
8775,0.86719042
10356,0.91065067
4560,0.88646585
6759,0.84738714
13246,1.00732505
7890,0.93882161
2498,0.98829854
556,0.97694010
9349,0.92268819
13987,0.93847513
7007,0.86160916
6736,0.91960728
4365,0.90289301
3411,0.89913177
1776,0.98525679
12418,1.00966954
14894,1.02481019
4286,0.94269693
1412,0.91108239
3901,0.93515152
8854,0.93071854
4721,0.98095018
709,1.01918626
609,1.01129329
7102,1.00306416
6277,0.90330398
12279,0.90316534
11020,0.90569705
2966,0.95977306
