Group,Kind,Set,Value
0,Loss,Train,0.29007710240413875
0,RMSE,Train,0.53858805
0,Loss,Dev,0.29786947482920423
0,RMSE,Dev,0.5457742
0,Loss,Train,0.30505563393451346
0,RMSE,Train,0.55231845
0,Loss,Dev,0.30194457576953954
0,RMSE,Dev,0.54949486
0,Loss,Train,0.2867456250328075
0,RMSE,Train,0.5354864
0,Loss,Dev,0.29731101190664394
0,RMSE,Dev,0.54526234
0,Loss,Train,0.3125423311791971
0,RMSE,Train,0.55905485
0,Loss,Dev,0.3048386550136912
0,RMSE,Dev,0.55212194
0,Loss,Train,0.2907634022519443
0,RMSE,Train,0.5392248
0,Loss,Dev,0.29761640723207955
0,RMSE,Dev,0.5455423
0,Loss,Train,0.3111675413772371
0,RMSE,Train,0.55782396
0,Loss,Dev,0.3049399944167829
0,RMSE,Dev,0.5522137
0,Loss,Train,0.31647879726354183
0,RMSE,Train,0.56256443
0,Loss,Dev,0.3100193991499432
0,RMSE,Dev,0.5567938
0,Loss,Train,0.3048494305913991
0,RMSE,Train,0.5521317
0,Loss,Dev,0.29785526937174867
0,RMSE,Dev,0.54576117
0,Loss,Train,0.3021924134438037
0,RMSE,Train,0.5497203
0,Loss,Dev,0.2947261618306293
0,RMSE,Dev,0.54288685
0,Loss,Train,0.3179018305660134
0,RMSE,Train,0.5638279
0,Loss,Dev,0.29882231517338764
0,RMSE,Dev,0.5466464
1,Loss,Train,0.3184154445681392
1,RMSE,Train,0.56428313
1,Loss,Dev,0.29767840642385024
1,RMSE,Dev,0.5455991
1,Loss,Train,0.3245081147661458
1,RMSE,Train,0.56965613
1,Loss,Dev,0.3087735269226383
1,RMSE,Dev,0.55567396
1,Loss,Train,0.3297105867414123
1,RMSE,Train,0.57420427
1,Loss,Dev,0.3022438923575357
1,RMSE,Dev,0.54976714
1,Loss,Train,0.32126241781580167
1,RMSE,Train,0.5668001
1,Loss,Dev,0.2998938003001306
1,RMSE,Dev,0.5476256
1,Loss,Train,0.30817936959229114
1,RMSE,Train,0.55513906
1,Loss,Dev,0.3041222450308388
1,RMSE,Dev,0.5514728
1,Loss,Train,0.32049906325448957
1,RMSE,Train,0.56612635
1,Loss,Dev,0.2991006012024984
1,RMSE,Dev,0.5469009
1,Loss,Train,0.31616998852608463
1,RMSE,Train,0.5622899
1,Loss,Dev,0.29959582789666694
1,RMSE,Dev,0.5473535
1,Loss,Train,0.31658878944693786
1,RMSE,Train,0.5626622
1,Loss,Dev,0.30373438239196154
1,RMSE,Dev,0.55112106
1,Loss,Train,0.3083171755804148
1,RMSE,Train,0.55526316
1,Loss,Dev,0.2965788131116983
1,RMSE,Dev,0.5445905
1,Loss,Train,0.3062836348862259
1,RMSE,Train,0.55342895
1,Loss,Dev,0.29682527916793144
1,RMSE,Dev,0.54481673
2,Loss,Train,0.305823391421524
2,RMSE,Train,0.55301297
2,Loss,Dev,0.29605728071206067
2,RMSE,Dev,0.5441115
2,Loss,Train,0.32097130169079996
2,RMSE,Train,0.5665433
2,Loss,Dev,0.30267106296603175
2,RMSE,Dev,0.5501555
2,Loss,Train,0.3157114246501203
2,RMSE,Train,0.561882
2,Loss,Dev,0.2958973872607382
2,RMSE,Dev,0.5439645
2,Loss,Train,0.31850029534933927
2,RMSE,Train,0.5643583
2,Loss,Dev,0.2966298563833225
2,RMSE,Dev,0.5446374
2,Loss,Train,0.31520940908692063
2,RMSE,Train,0.5614351
2,Loss,Dev,0.3096751559243906
2,RMSE,Dev,0.55648464
2,Loss,Train,0.33433986552464134
2,RMSE,Train,0.57822126
2,Loss,Dev,0.299971231674054
2,RMSE,Dev,0.5476963
2,Loss,Train,0.3187316753189444
2,RMSE,Train,0.5645633
2,Loss,Dev,0.29412383916654977
2,RMSE,Dev,0.5423318
2,Loss,Train,0.3105919026533104
2,RMSE,Train,0.5573077
2,Loss,Dev,0.29460097833968923
2,RMSE,Dev,0.5427716
2,Loss,Train,0.3162051640231729
2,RMSE,Train,0.56232125
2,Loss,Dev,0.29912063605088546
2,RMSE,Dev,0.5469192
2,Loss,Train,0.3153704589227399
2,RMSE,Train,0.5615786
2,Loss,Dev,0.29946295395277905
2,RMSE,Dev,0.5472321
3,Loss,Train,0.3600597550549845
3,RMSE,Train,0.6000498
3,Loss,Dev,0.3337711078315394
3,RMSE,Dev,0.5777293
3,Loss,Train,0.37153401738669534
3,RMSE,Train,0.60953593
3,Loss,Dev,0.33560390605962
3,RMSE,Dev,0.57931334
3,Loss,Train,0.3715138277768397
3,RMSE,Train,0.60951936
3,Loss,Dev,0.3407534454887985
3,RMSE,Dev,0.5837409
3,Loss,Train,0.36941305824300336
3,RMSE,Train,0.6077936
3,Loss,Dev,0.3368417511133184
3,RMSE,Dev,0.5803807
3,Loss,Train,0.36910740537758047
3,RMSE,Train,0.6075421
3,Loss,Dev,0.34338916240028233
3,RMSE,Dev,0.5859942
3,Loss,Train,0.3877981751230906
3,RMSE,Train,0.6227344
3,Loss,Dev,0.3487640341952499
3,RMSE,Dev,0.59056246
3,Loss,Train,0.36410848615429386
3,RMSE,Train,0.603414
3,Loss,Dev,0.35187713899805606
3,RMSE,Dev,0.59319234
3,Loss,Train,0.3752728404961233
3,RMSE,Train,0.61259514
3,Loss,Dev,0.3438864693310498
3,RMSE,Dev,0.58641833
3,Loss,Train,0.37769959975069506
3,RMSE,Train,0.61457264
3,Loss,Dev,0.34108597856999034
3,RMSE,Dev,0.5840257
3,Loss,Train,0.3609153851280062
3,RMSE,Train,0.60076237
3,Loss,Dev,0.3343344458547098
3,RMSE,Dev,0.5782166
4,Loss,Train,0.30802873914487816
4,RMSE,Train,0.5550034
4,Loss,Dev,0.2959548431321972
4,RMSE,Dev,0.5440173
4,Loss,Train,0.3089750796074794
4,RMSE,Train,0.5558553
4,Loss,Dev,0.30583687823338174
4,RMSE,Dev,0.5530252
4,Loss,Train,0.31068880273700006
4,RMSE,Train,0.5573946
4,Loss,Dev,0.30333631535905015
4,RMSE,Dev,0.5507598
4,Loss,Train,0.2967575851116149
4,RMSE,Train,0.5447546
4,Loss,Dev,0.3016468162574074
4,RMSE,Dev,0.54922384
4,Loss,Train,0.3034341782022698
4,RMSE,Train,0.5508486
4,Loss,Dev,0.30184372849285035
4,RMSE,Dev,0.5494031
4,Loss,Train,0.3168040613292215
4,RMSE,Train,0.5628535
4,Loss,Dev,0.3012632607255607
4,RMSE,Dev,0.54887456
4,Loss,Train,0.3118320507500313
4,RMSE,Train,0.5584192
4,Loss,Dev,0.3001582555013927
4,RMSE,Dev,0.547867
4,Loss,Train,0.3082472744370416
4,RMSE,Train,0.5552002
4,Loss,Dev,0.2981003717407307
4,RMSE,Dev,0.5459857
4,Loss,Train,0.33005612504418047
4,RMSE,Train,0.5745051
4,Loss,Dev,0.298614574863478
4,RMSE,Dev,0.5464564
4,Loss,Train,0.32239140066871297
4,RMSE,Train,0.5677952
4,Loss,Dev,0.30002320832878954
4,RMSE,Dev,0.54774374
5,Loss,Train,0.2899408136913997
5,RMSE,Train,0.5384615
5,Loss,Dev,0.29624292518098083
5,RMSE,Dev,0.544282
5,Loss,Train,0.3014661164462591
5,RMSE,Train,0.5490593
5,Loss,Dev,0.29441221651581506
5,RMSE,Dev,0.54259765
5,Loss,Train,0.297712785484778
5,RMSE,Train,0.54563063
5,Loss,Dev,0.2942650482372688
5,RMSE,Dev,0.54246205
5,Loss,Train,0.2993162701202042
5,RMSE,Train,0.5470981
5,Loss,Dev,0.3104635280930045
5,RMSE,Dev,0.55719256
5,Loss,Train,0.30414863314264995
5,RMSE,Train,0.55149674
5,Loss,Dev,0.3055545509526827
5,RMSE,Dev,0.5527699
5,Loss,Train,0.3076359481298721
5,RMSE,Train,0.5546494
5,Loss,Dev,0.29725276964318903
5,RMSE,Dev,0.54520893
5,Loss,Train,0.3130427820031395
5,RMSE,Train,0.55950224
5,Loss,Dev,0.30068886307164033
5,RMSE,Dev,0.54835105
5,Loss,Train,0.2910002369852023
5,RMSE,Train,0.5394444
5,Loss,Dev,0.301607020584302
5,RMSE,Dev,0.5491876
5,Loss,Train,0.2956917365334412
5,RMSE,Train,0.54377544
5,Loss,Dev,0.2984649144997031
5,RMSE,Dev,0.5463194
5,Loss,Train,0.3129755096148022
5,RMSE,Train,0.5594421
5,Loss,Dev,0.2967096218741497
5,RMSE,Dev,0.5447106
6,Loss,Train,0.31843453755627715
6,RMSE,Train,0.56430006
6,Loss,Dev,0.2978273385095419
6,RMSE,Dev,0.5457356
6,Loss,Train,0.28837659288085055
6,RMSE,Train,0.53700703
6,Loss,Dev,0.30083932537537755
6,RMSE,Dev,0.5484882
6,Loss,Train,0.29148346888440996
6,RMSE,Train,0.5398921
6,Loss,Dev,0.29744732082998915
6,RMSE,Dev,0.5453873
6,Loss,Train,0.2875044295835238
6,RMSE,Train,0.5361944
6,Loss,Dev,0.3005411199988191
6,RMSE,Dev,0.54821634
6,Loss,Train,0.2883263902450764
6,RMSE,Train,0.5369603
6,Loss,Dev,0.2966639203022905
6,RMSE,Dev,0.5446686
6,Loss,Train,0.3197827927190834
6,RMSE,Train,0.5654934
6,Loss,Dev,0.3121513446385627
6,RMSE,Dev,0.55870503
6,Loss,Train,0.31938874152158236
6,RMSE,Train,0.56514484
6,Loss,Dev,0.3047717026488354
6,RMSE,Dev,0.5520613
6,Loss,Train,0.29407005388115237
6,RMSE,Train,0.5422822
6,Loss,Dev,0.29687038417589867
6,RMSE,Dev,0.54485816
6,Loss,Train,0.29575745489060806
6,RMSE,Train,0.5438359
6,Loss,Dev,0.3030596558542082
6,RMSE,Dev,0.55050856
6,Loss,Train,0.3054816648765466
6,RMSE,Train,0.552704
6,Loss,Dev,0.30139690180512785
6,RMSE,Dev,0.54899627
7,Loss,Train,0.29454486875478725
7,RMSE,Train,0.5427199
7,Loss,Dev,0.29773916183990506
7,RMSE,Dev,0.5456548
7,Loss,Train,0.29868469185667124
7,RMSE,Train,0.5465205
7,Loss,Dev,0.30310709738149877
7,RMSE,Dev,0.5505516
7,Loss,Train,0.2892365804659199
7,RMSE,Train,0.53780717
7,Loss,Dev,0.300379841768234
7,RMSE,Dev,0.5480692
7,Loss,Train,0.29134602683538036
7,RMSE,Train,0.53976476
7,Loss,Dev,0.2952915877165406
7,RMSE,Dev,0.5434074
7,Loss,Train,0.3003109757998056
7,RMSE,Train,0.54800636
7,Loss,Dev,0.2998469999108545
7,RMSE,Dev,0.54758286
7,Loss,Train,0.2991076063378639
7,RMSE,Train,0.54690737
7,Loss,Dev,0.30469514364888717
7,RMSE,Dev,0.551992
7,Loss,Train,0.30735455340386625
7,RMSE,Train,0.5543957
7,Loss,Dev,0.2970562687635717
7,RMSE,Dev,0.5450287
7,Loss,Train,0.30014231252660406
7,RMSE,Train,0.54785246
7,Loss,Dev,0.30510465872834763
7,RMSE,Dev,0.5523628
7,Loss,Train,0.30896728387325567
7,RMSE,Train,0.55584824
7,Loss,Dev,0.2935241534104767
7,RMSE,Dev,0.5417787
7,Loss,Train,0.3130660564065523
7,RMSE,Train,0.55952305
7,Loss,Dev,0.30180263030179133
7,RMSE,Dev,0.54936564
8,Loss,Train,0.2867835289306577
8,RMSE,Train,0.53552175
8,Loss,Dev,0.3017776794747017
8,RMSE,Dev,0.54934293
8,Loss,Train,0.31957233039808136
8,RMSE,Train,0.56530726
8,Loss,Dev,0.3093305651364912
8,RMSE,Dev,0.55617493
8,Loss,Train,0.2906758707314668
8,RMSE,Train,0.5391436
8,Loss,Dev,0.2997867464526422
8,RMSE,Dev,0.54752785
8,Loss,Train,0.3105491568723063
8,RMSE,Train,0.55726933
8,Loss,Dev,0.30516754210906955
8,RMSE,Dev,0.5524197
8,Loss,Train,0.30009411014168774
8,RMSE,Train,0.54780847
8,Loss,Dev,0.29967732332668406
8,RMSE,Dev,0.5474279
8,Loss,Train,0.2941978489320109
8,RMSE,Train,0.54240006
8,Loss,Dev,0.2976343656384585
8,RMSE,Dev,0.54555875
8,Loss,Train,0.2970876371988952
8,RMSE,Train,0.5450574
8,Loss,Dev,0.30465256634355825
8,RMSE,Dev,0.55195343
8,Loss,Train,0.29530705392385387
8,RMSE,Train,0.5434216
8,Loss,Dev,0.2967017492808405
8,RMSE,Dev,0.54470336
8,Loss,Train,0.28546057150564497
8,RMSE,Train,0.5342851
8,Loss,Dev,0.29474099027859174
8,RMSE,Dev,0.54290056
8,Loss,Train,0.3005361191672109
8,RMSE,Train,0.54821175
8,Loss,Dev,0.3079467834816239
8,RMSE,Dev,0.55492955
9,Loss,Train,0.294817157531249
9,RMSE,Train,0.54297066
9,Loss,Dev,0.2973460846939773
9,RMSE,Dev,0.5452945
9,Loss,Train,0.3066449203755023
9,RMSE,Train,0.5537553
9,Loss,Dev,0.30230277545100254
9,RMSE,Dev,0.54982066
9,Loss,Train,0.30156545752911856
9,RMSE,Train,0.54914975
9,Loss,Dev,0.29656245672490883
9,RMSE,Dev,0.5445755
9,Loss,Train,0.2935960863420097
9,RMSE,Train,0.5418451
9,Loss,Dev,0.3026105429254913
9,RMSE,Dev,0.5501005
9,Loss,Train,0.30304059875342443
9,RMSE,Train,0.5504912
9,Loss,Dev,0.29567900781741857
9,RMSE,Dev,0.54376376
9,Loss,Train,0.3018193182192351
9,RMSE,Train,0.54938084
9,Loss,Dev,0.3027929610065706
9,RMSE,Dev,0.55026627
9,Loss,Train,0.29440447527543173
9,RMSE,Train,0.5425905
9,Loss,Dev,0.3036601926335228
9,RMSE,Dev,0.5510537
9,Loss,Train,0.29795149697389933
9,RMSE,Train,0.5458493
9,Loss,Dev,0.29717790703479785
9,RMSE,Dev,0.54514027
9,Loss,Train,0.29830688480218315
9,RMSE,Train,0.54617476
9,Loss,Dev,0.298239859139047
9,RMSE,Dev,0.54611343
