id,pred
1723,0.68981349
12736,0.61866397
12274,0.49540567
8823,0.72847188
5087,0.76422024
13178,0.24657705
11799,1.48433423
13425,1.05629444
12497,1.23483026
1185,0.92320526
3584,0.86424243
5851,0.33120343
14311,1.62958670
7836,1.57856882
2321,1.53074992
547,0.96416223
9095,0.85294688
4614,0.74775732
12698,1.21811414
2674,0.91225922
6814,1.01508999
4611,1.11452353
4334,1.04087126
9101,1.03863263
6585,0.46370658
12156,0.68074369
1183,0.53266257
2428,0.89638364
11600,1.59851491
3162,1.30383492
13798,1.43950164
1783,0.69247377
13683,0.78092313
14347,1.17455983
14472,0.98052418
8589,0.98116076
10411,1.30031443
7942,0.54805791
13715,0.42847031
8838,1.14447212
9644,0.52535421
8093,1.04115808
1734,0.37226802
10725,1.49299669
4556,1.00142193
1380,1.13268673
2722,1.21691918
4072,0.27453920
11293,1.62298417
12003,1.14393771
13564,0.55066407
8294,0.82161176
3393,0.92598355
8051,1.33621192
699,1.36969399
4557,0.61591637
8091,0.67017543
9704,0.93512964
11650,0.42981967
305,0.70950472
8300,0.93868279
13525,0.67033112
10166,1.00484824
11107,0.77727711
9971,0.61280501
7732,0.73795676
13466,1.01919937
3406,1.11930251
5338,1.34880888
6835,1.34262025
14359,0.89788139
4837,0.98508382
4741,0.45815590
5651,0.82776225
8779,1.18420231
5055,0.86303890
4744,0.80134869
1804,1.22669709
3992,1.36085391
14111,0.93273950
12047,0.95772040
1156,0.67747033
1920,0.42049485
9307,1.07418251
5881,1.18869543
12531,0.92949009
5878,0.45939997
10742,0.25168774
7625,0.74514019
30,0.85483062
4879,1.29996157
356,1.31310225
9781,0.87496674
1457,0.46276641
2876,0.96735346
1626,0.19772026
4929,1.43970001
848,0.96594965
2300,0.64661294
11987,0.90771949
3427,1.32836032
13492,0.48273689
14170,0.47520170
1960,1.57861054
8013,0.68712533
12019,1.33124411
7896,0.79153311
7371,0.73354244
6780,1.29033196
9855,0.80429411
11685,1.03794551
2290,0.60608828
473,1.33210087
4422,0.68049657
10966,1.30601990
705,0.71475708
12994,0.64104462
2448,1.37685084
2662,0.90604532
6143,0.97248876
14075,0.89492905
214,1.67886984
4150,0.73540628
6850,0.46718195
14868,1.31698418
3263,0.96889448
10879,0.77241290
9588,1.31340981
15043,0.65018940
11065,0.91915321
11939,0.69605792
8976,0.72085953
6560,1.24333632
6526,0.88172972
9402,0.67545187
9368,0.72048557
40,0.91904771
11862,1.13700187
3421,0.64865839
9105,0.68867099
4075,1.06817770
526,0.81359470
9020,0.84593964
8239,1.13238597
11469,0.58713633
12610,0.39267308
8282,0.98707438
11701,0.52265942
10560,1.21755040
6012,1.29930115
9174,0.51082265
4019,1.84143281
67,0.83356237
8520,0.53645337
10415,0.86430168
8775,0.97076166
10356,0.27774268
4560,0.39739394
6759,1.24309146
13246,0.86167431
7890,1.68030512
2498,1.03183174
556,1.07399750
9349,1.14833272
13987,0.31367207
7007,1.51197875
6736,0.94536686
4365,0.73632145
3411,0.57042736
1776,1.15970469
12418,1.05041027
14894,1.12958920
4286,1.26335967
1412,0.74153054
3901,1.03269148
8854,1.18603861
4721,0.65077639
709,0.62415159
609,1.24242043
7102,0.48993132
6277,1.21373785
12279,1.14756799
11020,0.79142797
2966,1.17175961
583,0.76241815
9420,0.96069407
1260,1.09445465
7477,1.83086729
3226,1.56589890
10865,1.04315555
10397,0.59907621
4378,0.88940823
13267,0.96606028
2073,0.84743083
14594,0.91589260
9114,0.78993046
8383,0.83119321
4272,0.85290027
6432,0.46121073
10156,0.70989239
8474,0.70025527
3286,1.14304709
12069,0.45208853
7713,0.78566432
12725,0.65220040
5581,1.71138823
4737,0.56905037
7921,0.46951911
10417,1.29735756
4805,0.15509807
7659,0.75620949
672,0.63671786
1340,1.17140889
14931,1.01952899
9191,0.96089709
6280,0.63098150
1748,0.29421115
7932,0.74992204
7627,0.77065670
8421,1.63619637
4496,0.77543604
659,0.13200203
13154,0.74338019
6590,0.47860971
2056,1.49067807
9689,0.38230523
12759,1.16903090
3234,1.03262031
5558,0.05584805
2355,1.02897310
5426,0.71783543
15070,0.48359051
12540,0.97858632
858,0.79338181
10165,0.82717693
13980,1.27223480
5268,1.28808308
9996,0.76533639
11530,1.14824975
2653,1.24839163
10547,1.61577725
4368,0.45131674
10632,1.04510725
8374,0.61406863
9777,0.93129611
5441,0.36968946
3111,0.90213490
11364,1.26085818
7777,0.73756731
3836,0.41577470
4950,0.57568645
15079,0.78138316
9011,1.40029716
6623,0.84004998
12508,0.39922836
9771,1.34537816
7143,0.08639431
8501,0.24637049
10572,1.36091614
14627,0.76779640
6394,0.79685652
12649,0.85696173
9449,1.62650120
13350,0.96859086
8510,1.18520308
11991,1.24100006
13513,0.95962024
5703,0.69419527
12311,1.48518121
10322,0.58778793
13927,1.57162857
3532,1.34728849
7935,0.70237088
8990,0.52702105
14632,0.76552975
7199,0.65393531
149,1.73895061
61,1.63722599
1815,1.25567520
3951,1.06412601
10828,0.80939519
1914,1.20077848
10298,0.49769264
12376,0.92819178
5244,1.66974688
13903,0.59845656
10138,1.60650527
713,1.04076111
6774,0.39067650
11532,0.24156368
2987,0.19134678
10867,0.80980670
3311,0.94185388
12897,0.98803341
3855,0.74292648
1747,0.52539945
7265,1.51904178
4894,0.73723733
4978,0.66114289
4384,1.36348343
14780,1.60534930
3355,0.81288302
8497,0.44922087
10557,0.42630872
2184,0.54740179
8129,0.52058566
9082,0.39828035
4323,0.84390593
749,1.31172800
6602,0.84116232
3030,1.22570348
10746,0.84588766
6303,1.11356843
3615,0.90448403
2255,1.36410260
6088,1.26174378
6825,0.50240964
9908,1.56170094
3115,0.37107071
11702,0.18834858
2983,1.93497014
4743,0.77856767
9880,0.52392960
1207,1.14006174
10232,1.28946018
10058,0.78246772
11282,0.72687471
471,0.40064642
11053,1.32486546
